ProductId,ProductName,ProductDesc,ProductImgPath,ProductBrand
1,Sharp MX-7040N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 70 B/W 70 Colour</li>
<li>Paper capacity: Std 3100 Max 8500 sheets</li>
<li>High speed, high volume productivity with a wide range of professional finishing options</li>
<li>Large tiltable 10.1"" colour LCD panel with finger swipe touch control</li>
<li>Superior image quality with Developer Refresh System</li>
<li>Web browsing option for access to Internet directly from MFP panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-sharp-Polaris-MX-7040N_full_FN22_slant-960.jpg"">",Sharp
2,Sharp MX-6240N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 62 B/W 62 Colour</li>
<li>Paper capacity: Std 3100 Max 8500 sheets</li>
<li>High speed, high volume productivity with a wide range of professional finishing options</li>
<li>Large tiltable 10.1"" colour LCD panel with finger swipe touch control</li>
<li>Superior image quality with Developer Refresh System</li>
<li>Web browsing option for access to Internet directly from MFP panel from the control panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-sharp-Polaris-MX-6240N_FN19_slant-960.jpg"">",Sharp
3,Sharp MX-5141N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 51 B/W 51 Colour</li>
<li>Paper capacity: Std 1,100 Max 6,600 sheets</li>
<li>Large 10.1"" LCD control panel with multi-touch control (pinch & spread)</li>
<li>High speed double-sided Duplex Single Pass Feeder and a wide range of professional finishing options</li>
<li>Environmentally advanced - designed to minimise energy consumption</li>
<li>Web browsing option for access to Internet directly from MFP panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_MX-5141N-4KS-full-front.jpg"">",Sharp
4,Sharp MX-5140N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 51 B/W 51 Colour</li>
<li>Paper capacity: Std 1,100 Max 6,600 sheets</li>
<li>Large 10.1"" LCD control panel with multi-touch control (pinch & spread)</li>
<li>High speed double-sided Reversing Single Pass Feeder and a wide range of professional finishing options</li>
<li>Environmentally advanced - designed to minimise energy consumption</li>
<li>Web browsing option for access to Internet directly from MFP panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_MX-5140N-4KS-full-front.jpg"">",Sharp
5,Sharp MX-4141N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 41 B/W 41 Colour</li>
<li>Paper capacity: Std 1,100 Max 6,600 sheets</li>
<li>Large 10.1"" LCD control panel with multi-touch control (pinch & spread)</li>
<li>High speed double-sided Duplex Single Pass Feeder and a wide range of professional finishing options</li>
<li>Environmentally advanced - designed to minimise energy consumption</li>
<li>Web browsing option for access to Internet directly from MFP panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_MX-4141N_4KS_full_front.jpg"">",Sharp
6,Sharp MX-4140N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 41 B/W 41 Colour</li>
<li>Paper capacity: Std 1,100 Max 6,600 sheets</li>
<li>Large 10.1"" LCD control panel with multi-touch control (pinch & spread)</li>
<li>High speed double-sided Reversing Single Pass Feeder and a wide range of professional finishing options</li>
<li>Environmentally advanced - designed to minimise energy consumption</li>
<li>Web browsing option for access to Internet directly from MFP panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_MX-4140N_4KS_full_front.jpg"">",Sharp
7,Sharp MX-3640N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 36 B/W 36 Colour</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>Cloud-ready as standard - seamlessly integrates with Cloud applications</li>
<li>Large 10.1"" LCD control panel with multi-touch screen for ease of use</li>
<li>Standard Wireless LAN Adaptor enables connection to wireless network</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Environmentally advanced design with standard advanced Eco functions</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-system-MX-3640N_full_slant-960.jpg"">",Sharp
8,Sharp MX-3140N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 31 B/W 31 Colour</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>Cloud-ready as standard - seamlessly integrates with Cloud applications</li>
<li>Large 10.1"" LCD control panel with multi-touch screen for ease of use</li>
<li>Standard Wireless LAN Adaptor enables connection to wireless network</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Environmentally advanced design with standard advanced Eco functions</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-3140N_full_slant.jpg"">",Sharp
9,Sharp MX-3114N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 31 B/W 31 Colour</li>
<li>Paper capacity: Std 600 Max 3100 sheets</li>
<li>'Cloud' connectivity options and the ability to run Software as a Service (SaaS) applications</li>
<li>7.0"" colour touch-screen LCD provides facilitates easy operation plus optional keyboard</li>
<li>Standard equipped security functions for data/document protection</li>
<li>Optional space-saving inner finisher and punch module</li>
<li>Environmentally advanced design with energy saving features</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/img-p-document-systems-mx-2614n-gemini2plus-scanning-260.jpg"">",
10,Sharp MX-2640N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 26 B/W 26 Colour</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>Cloud-ready as standard - seamlessly integrates with Cloud applications</li>
<li>Large 10.1"" LCD control panel with multi-touch screen for ease of use</li>
<li>Standard Wireless LAN Adaptor enables connection to wireless network</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Environmentally advanced design with standard advanced Eco functions</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-2640N_tandem_front.jpg"">",Sharp
